Usage: ./a.out <world_height> <world_width> <num_cities> <random_seed> <cities_to_visit>
Table: 

Location	xpos	ypos	Minas Morgul	Osgiliath	The Grey Havens	Lothlorien	Emyn Muil	Trollshaws	Misty Mountains	Pelennor Fields	Hollin	Minas Tirith	Dagorlad	Barad-Dur	Dunharrow	Entwash River	Mirkwood	Cirith Ungol	Rivendell	Hobbiton	The Old Forest	Helm's Deep	Dol Guldur	Orodruin	Weathertop	Fangorn Forest	Laketown	Beorn's House	Bucklebury	The Black Gate	Erebor	Dale	Isengard	Bywater	Gorgoroth	Bree	Michel Delving	Prancing Pony	River Isen	Moria	Gladden Fields	Edoras	
Dagorlad	3.40804	17.7507	16.1134	15.5926	11.749	15.0465	15.5937	14.5501	4.00933	4.73004	14.2371	15.7497	0	22.8624	4.02461	16.8067	15.2204	14.5534	9.75607	10.73	13.5578	21.4262	14.4448	3.47631	16.6991	17.1542	11.7267	16.6641	15.7407	14.148	10.2777	3.32942	18.1197	13.505	16.1196	13.6149	6.93373	16.8027	15.551	16.6422	8.71711	11.6129	
Barad-Dur	19.6562	1.66698	15.7436	17.4282	16.7662	8.64706	11.8585	9.62313	21.6061	20.7618	14.4896	7.12358	22.8624	0	23.2706	19.4295	13.0329	13.3321	19.1606	19.0405	9.41816	2.13062	8.47842	20.2737	6.42243	12.4223	19.4241	18.3111	7.30568	9.04352	14.5386	21.6342	5.37223	16.1881	10.6548	15.4393	20.6463	6.29694	16.0529	8.51204	19.0121	13.9662	
Dunharrow	0.536089	14.9313	19.1429	12.8421	9.39599	16.3807	17.9239	14.0948	1.66534	2.55105	12.2556	16.2308	4.02461	23.2706	0	13.6877	17.7715	17.1335	6.86053	14.2656	14.5119	22.1359	14.8334	3.32187	17.5892	15.4356	8.61686	20.0324	15.9657	15.2724	12.6901	7.18454	18.1258	11.1345	14.9424	11.4379	10.6916	16.9898	13.0966	18.2879	6.03344	14.0763	
Entwash River	0.231293	1.247	25.1638	2.22087	5.74748	17.7877	21.8908	11.1604	12.8887	12.0807	5.60669	15.062	16.8067	19.4295	13.6877	0	22.489	22.1164	7.05117	23.0875	15.6484	19.6035	14.1018	13.5275	17.1275	7.02212	5.10287	27.176	14.1126	16.5337	18.7068	18.7224	14.5547	4.56834	8.92645	5.11127	21.0664	14.5169	3.51297	19.9713	8.10983	19.6841	
Mirkwood	18.305	14.6296	3.03339	20.3137	17.1701	5.62975	1.17469	12.1603	16.3843	16.022	17.0252	9.08511	15.2204	13.0329	17.7715	22.489	0	0.672773	17.8879	6.79087	7.17718	10.9175	9.21388	14.5122	7.7424	17.5241	19.3803	5.58589	10.0403	6.48375	5.08139	12.5048	11.7195	17.9387	15.1405	17.3802	9.84713	10.5018	19.2444	4.58553	17.0519	3.6952	
Cirith Ungol	17.6694	14.8502	3.15739	19.9538	16.7392	5.60958	1.57135	11.9509	15.7592	15.4122	16.6922	9.03336	14.5534	13.3321	17.1335	22.1164	0.672773	0	17.3807	6.22256	6.97871	11.2319	9.05942	13.8838	7.82061	17.3059	18.9067	5.59932	9.95986	6.34803	4.44761	11.8321	11.7477	17.5566	14.9401	17.0144	9.19373	10.483	18.9105	4.82876	16.5268	3.06333	
Rivendell	1.6287	8.15832	20.1399	5.987	2.8292	14.4231	17.5884	9.5435	5.87255	5.03398	5.8227	12.8558	9.75607	19.1606	6.86053	7.05117	17.8879	17.3807	0	16.9594	12.203	18.5591	11.518	6.50955	14.7158	9.07632	2.01906	21.7793	12.213	13.1225	13.3161	11.7882	13.7885	4.41314	9.2399	4.8661	14.4291	13.0487	6.2788	16.6383	1.10419	14.5321	
Hobbiton	13.9351	19.8277	6.08381	21.1546	17.3459	10.5319	7.77777	15.0311	13.333	13.3747	18.3459	13.3934	10.73	19.0405	14.2656	23.0875	6.79087	6.22256	16.9594	0	10.7858	17.0245	12.8229	11.5492	12.8994	19.9487	18.8442	5.98962	14.0735	10.6198	5.17139	7.45397	16.3335	18.6541	17.8601	18.3181	3.94026	14.8986	20.4269	10.6545	15.9088	5.18204	
The Old Forest	13.7996	9.04275	10.1346	13.4352	10.7774	2.23672	6.37646	4.98317	12.8703	12.1583	10.07	2.66313	13.5578	9.41816	14.5119	15.6484	7.17718	6.97871	12.203	10.7858	0	7.87095	2.13126	11.2986	3.14462	10.3471	13.2847	12.5312	3.2905	0.927559	5.69178	12.2193	5.59361	11.2021	7.96627	10.5666	11.5173	4.13694	12.2716	4.47394	11.6329	5.70496	
Helm's Deep	19.6682	3.79757	13.6132	17.5048	16.3573	6.78446	9.74411	9.08343	20.4727	19.6752	14.3675	5.92175	21.4262	2.13062	22.1359	19.6035	10.9175	11.2319	18.5591	17.0245	7.87095	0	7.32914	19.0296	4.74431	12.7222	19.0385	16.1805	6.3737	7.36142	12.669	19.9893	5.06713	15.9992	10.6832	15.2511	18.7959	5.51387	16.1351	6.42837	18.2934	12.0093	
Dol Guldur	13.0916	7.03253	12.2061	11.8815	9.6865	3.80485	8.33482	3.05329	13.1683	12.3544	8.49662	1.40788	14.4448	8.47842	14.8334	14.1018	9.21388	9.05942	11.518	12.8229	2.13126	7.32914	0	11.7965	3.22035	8.37404	12.315	14.6356	1.37339	2.73202	7.67398	13.5315	3.83737	9.81925	5.96408	9.12904	13.248	2.4089	10.6396	5.89639	11.1227	7.80643	
Orodruin	3.79669	14.2962	16.0266	12.1943	8.30122	13.1029	14.6267	11.4493	1.88464	1.85006	10.7618	13.1712	3.47631	20.2737	3.32187	13.5275	14.5122	13.8838	6.50955	11.5492	11.2986	19.0296	11.7965	0	14.4106	13.7061	8.52306	17.0972	13.0028	12.0266	9.43637	5.33771	15.2741	10.0485	12.7753	10.1419	8.36571	14.0504	12.0966	14.9784	5.42441	10.8208	
Weathertop	16.3098	7.14871	10.7511	14.9176	12.9008	2.37115	6.64702	5.96759	15.9368	15.189	11.5539	2.06548	16.6991	6.42243	17.5892	17.1275	7.7424	7.82061	14.7158	12.8994	3.14462	4.74431	3.22035	14.4106	0	10.9311	15.5348	13.3265	3.04273	2.63175	8.16237	15.2603	4.01823	12.9632	8.5436	12.2547	14.2413	3.0101	13.6275	3.43773	14.2799	7.73024	
Fangorn Forest	7.25013	1.03237	20.4627	5.14856	6.24981	12.1674	16.695	5.36443	14.0371	13.0607	3.25537	8.94084	17.1542	12.4223	15.4356	7.02212	17.5241	17.3059	9.07632	19.9487	10.3471	12.7222	8.37404	13.7061	10.9311	0	8.34153	22.7917	7.91818	11.0861	14.9211	17.8552	7.76445	4.80858	2.41734	4.22696	19.08	8.03288	3.82102	14.1516	9.55447	15.5144	
Laketown	0.797288	6.31838	21.7597	4.36043	2.68154	15.5214	18.9953	9.95754	7.78775	6.99664	5.24037	13.5726	11.7267	19.4241	8.61686	5.10287	19.3803	18.9067	2.01906	18.8442	13.2847	19.0385	12.315	8.52306	15.5348	8.34153	0	23.5015	12.8184	14.2122	14.9923	13.8072	14.095	3.54509	9.02862	4.2115	16.4148	13.5462	4.98761	17.758	3.12069	16.1518	
Beorn's House	19.9229	19.9761	2.59786	25.0744	21.594	11.1919	6.69304	17.4663	18.9502	18.8534	21.9236	14.6299	16.6641	18.3111	20.0324	27.176	5.58589	5.59932	21.7793	5.98962	12.5312	16.1805	14.6356	17.0972	13.3265	22.7917	23.5015	0	15.5591	11.9398	8.52366	13.4258	17.304	22.6129	20.4572	22.136	9.9273	16.0694	24.1244	10.085	20.8104	7.49453	
Bucklebury	13.6035	5.7581	13.067	11.9104	10.1463	4.4363	9.07199	2.97955	14.3015	13.4565	8.56781	1.02625	15.7407	7.30568	15.9657	14.1126	10.0403	9.95986	12.213	14.0735	3.2905	6.3737	1.37339	13.0028	3.04273	7.91818	12.8184	15.5591	0	3.64864	8.9553	14.8955	2.46463	10.0423	5.51596	9.31744	14.6082	1.06228	10.6055	6.25676	11.9211	8.98828	
The Black Gate	14.7068	9.23592	9.48481	14.3174	11.7025	1.30917	5.60959	5.73102	13.6424	12.9566	10.944	2.81497	14.148	9.04352	15.2724	16.5337	6.48375	6.34803	13.1225	10.6198	0.927559	7.36142	2.73202	12.0266	2.63175	11.0861	14.2122	11.9398	3.64864	0	5.66684	12.631	5.72869	12.1066	8.6842	11.4634	11.6709	4.32487	13.1369	3.54654	12.5404	5.45474	
Erebor	13.2242	14.7054	6.85022	16.6452	13.0801	5.89595	5.32327	9.88487	11.3128	10.9839	13.6091	8.34306	10.2777	14.5386	12.6901	18.7068	5.08139	4.44761	13.3161	5.17139	5.69178	12.669	7.67398	9.43637	8.16237	14.9211	14.9923	8.52366	8.9553	5.66684	0	7.87529	11.2827	14.1608	12.759	13.7259	6.12782	9.82851	15.7717	6.787	12.3868	1.38621	
Dale	6.54242	18.8736	13.0577	17.2185	13.2357	13.3096	13.0349	14.3338	6.6921	7.10139	15.2839	14.6909	3.32942	21.6342	7.18454	18.7224	12.5048	11.8321	11.7882	7.45397	12.2193	19.9893	13.5315	5.33771	15.2603	17.8552	13.8072	13.4258	14.8955	12.631	7.87529	0	17.3544	14.9035	16.4162	14.8521	3.6066	15.9404	16.928	14.5903	10.6878	9.08817	
Isengard	14.6093	3.50805	14.7431	12.4418	11.4247	6.14701	10.6481	4.25352	16.4706	15.5886	9.30869	2.94301	18.1197	5.37223	18.1258	14.5547	11.7195	11.7477	13.7885	16.3335	5.59361	5.06713	3.83737	15.2741	4.01823	7.76445	14.095	17.304	2.46463	5.72869	11.2827	17.3544	0	10.9591	5.62831	10.2093	17.0421	1.46414	11.0745	7.44003	13.6504	11.1818	
Bywater	3.6753	4.24843	20.5965	2.50157	1.76657	13.3865	17.3675	7.06893	9.92885	8.98944	1.7363	10.9165	13.505	16.1881	11.1345	4.56834	17.9387	17.5566	4.41314	18.6541	11.2021	15.9992	9.81925	10.0485	12.9632	4.80858	3.54509	22.6129	10.0423	12.1066	14.1608	14.9035	10.9591	0	5.60448	0.750191	16.8923	10.6192	2.04834	15.6016	5.10207	15.1194	
Gorgoroth	9.04687	2.64955	18.0973	6.82531	6.51537	9.75206	14.2937	2.9915	13.4156	12.4445	3.87409	6.53493	16.1196	10.6548	14.9424	8.92645	15.1405	14.9401	9.2399	17.8601	7.96627	10.6832	5.96408	12.7753	8.5436	2.41734	9.02862	20.4572	5.51596	8.6842	12.759	16.4162	5.62831	5.60448	0	4.86975	17.2903	5.70267	5.45311	11.7369	9.44624	13.2635	
Bree	4.42176	4.17362	20.0772	2.94328	2.06572	12.7343	16.7806	6.34043	10.1592	9.20206	1.02892	10.2027	13.6149	15.4393	11.4379	5.11127	17.3802	17.0144	4.8661	18.3181	10.5666	15.2511	9.12904	10.1419	12.2547	4.22696	4.2115	22.136	9.31744	11.4634	13.7259	14.8521	10.2093	0.750191	4.86975	0	16.6979	9.87991	2.13221	14.9404	5.43828	14.6423	
Michel Delving	9.99576	19.9138	9.84579	19.3367	15.3706	12.0171	10.5967	14.7781	9.98627	10.2129	16.9371	14.1646	6.93373	20.6463	10.6916	21.0664	9.84713	9.19373	14.4291	3.94026	11.5173	18.7959	13.248	8.36571	14.2413	19.08	16.4148	9.9273	14.6082	11.6709	6.12782	3.6066	17.0421	16.8923	17.2903	16.6979	0	15.5793	18.8279	12.8067	13.332	6.97021	
Prancing Pony	14.2725	4.93292	13.5348	12.3421	10.8651	4.87742	9.47215	3.59286	15.327	14.4721	9.06355	1.51145	16.8027	6.29694	16.9898	14.5169	10.5018	10.483	13.0487	14.8986	4.13694	5.51387	2.4089	14.0504	3.0101	8.03288	13.5462	16.0694	1.06228	4.32487	9.82851	15.9404	1.46414	10.6192	5.70267	9.87991	15.5793	0	11.0047	6.42317	12.81	9.76274	
River Isen	3.61223	2.20106	22.0068	1.37599	3.80382	14.3681	18.5848	7.66479	11.9408	11.0112	2.2192	11.5626	15.551	16.0529	13.0966	3.51297	19.2444	18.9105	6.2788	20.4269	12.2716	16.1351	10.6396	12.0966	13.6275	3.82102	4.98761	24.1244	10.6055	13.1369	15.7717	16.928	11.0745	2.04834	5.45311	2.13221	18.8279	11.0047	0	16.528	7.07066	16.6411	
Moria	18.1595	10.0464	7.48782	17.7506	15.2457	2.23824	3.42075	8.93344	16.7077	16.107	14.3655	5.23096	16.6422	8.51204	18.2879	19.9713	4.58553	4.82876	16.6383	10.6545	4.47394	6.42837	5.89639	14.9784	3.43773	14.1516	17.758	10.085	6.25676	3.54654	6.787	14.5903	7.44003	15.6016	11.7369	14.9404	12.8067	6.42317	16.528	0	16.0192	5.84449	
Gladden Fields	2.16695	9.12244	19.2286	6.92056	3.37791	13.8276	16.8017	9.39916	4.90622	4.02184	6.31516	12.4934	8.71711	19.0121	6.03344	8.10983	17.0519	16.5268	1.10419	15.9088	11.6329	18.2934	11.1227	5.42441	14.2799	9.55447	3.12069	20.8104	11.9211	12.5404	12.3868	10.6878	13.6504	5.10207	9.44624	5.43828	13.332	12.81	7.07066	16.0192	0	13.632	
Edoras	14.6103	14.6898	5.61102	17.58	14.1354	5.37176	3.98409	10.3136	12.6959	12.3554	14.4481	8.25207	11.6129	13.9662	14.0763	19.6841	3.6952	3.06333	14.5321	5.18204	5.70496	12.0093	7.80643	10.8208	7.73024	15.5144	16.1518	7.49453	8.98828	5.45474	1.38621	9.08817	11.1818	15.1194	13.2635	14.6423	6.97021	9.76274	16.6411	5.84449	13.632	0	
